playerId,skaterFullName,lastName,positionCode,teamAbbrevs,gamesPlayed,shootsCatches,satPercentageClose,satPercentageTied,usatPercentageTied,usatPercentageClose,gameWinningGoals,otGoals,shGoals,headshot,logo,satPercentageClosePercentile,satPercentageTiedPercentile,usatPercentageTiedPercentile,usatPercentageClosePercentile,gameWinningGoalsPercentile,tiedPercentile,closePercentile,final,finalRank,clutch_performance
8482110,Dawson Mercer,Mercer,C,NJD,82,R,47.4,45.7,44.4,45.9,2,0,0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8482110.png,https://assets.nhle.com/logos/nhl/svg/NJD_dark.svg,33.37,25.95,18.33,25.21,56.04,22.14,29.29,37.84,323.0,0
8477939,William Nylander,Nylander,R,TOR,84,R,51.0,52.1,52.900000000000006,51.300000000000004,7,2,3,https://assets.nhle.com/mugs/nhl/20232024/TOR/8477939.png,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,61.33,70.23,73.2,63.88,94.6,71.72,62.6,78.14,61.0,0
8476882,Teuvo Teravainen,Teravainen,L,CAR,81,L,61.6,62.0,63.2,61.6,4,0,1,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476882.png,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,99.79,99.58,100.0,100.0,81.78,99.79,99.9,92.62,11.0,1
8482667,William Eklund,Eklund,L,SJS,80,L,46.300000000000004,48.4,49.1,46.5,5,2,0,https://assets.nhle.com/mugs/nhl/20232024/SJS/8482667.png,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,26.48,41.1,45.13,28.5,88.67,43.12,27.49,56.65,196.0,0
8478366,Frank Vatrano,Vatrano,R,ANA,82,L,44.2,42.699999999999996,42.8,44.0,7,2,3,https://assets.nhle.com/mugs/nhl/20232024/ANA/8478366.png,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,16.74,10.7,13.14,14.83,94.6,11.92,15.78,46.15,267.0,0
8476469,Joel Armia,Armia,R,MTL,66,R,50.0,48.9,49.8,50.1,3,0,2,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476469.png,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,52.54,43.75,52.01,53.92,71.08,47.88,53.23,58.76,178.0,0
8477942,Kevin Fiala,Fiala,L,LAK,86,L,56.10000000000001,56.89999999999999,59.4,58.5,2,1,0,https://assets.nhle.com/mugs/nhl/20232024/LAK/8477942.png,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,92.58,93.11,97.88,96.4,56.04,95.5,94.49,79.41,55.0,1
8478864,Kirill Kaprizov,Kaprizov,L,MIN,75,L,54.1,53.400000000000006,54.800000000000004,54.900000000000006,8,2,0,https://assets.nhle.com/mugs/nhl/20232024/MIN/8478864.png,https://assets.nhle.com/logos/nhl/svg/MIN_dark.svg,85.28,78.6,82.63,89.19,96.93,80.61,87.24,89.13,23.0,0
8475235,Nicolas Deslauriers,Deslauriers,L,PHI,60,L,43.8,45.5,48.4,45.800000000000004,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/PHI/8475235.png,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,13.98,23.73,39.62,24.47,13.45,31.67,19.23,20.65,410.0,0
8480849,Barrett Hayton,Hayton,C,ARI,33,L,54.2,56.3,56.3,54.1,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/ARI/8480849.png,https://assets.nhle.com/logos/nhl/svg/ARI_dark.svg,86.12,91.0,90.15,84.43,13.45,90.58,85.28,58.14,185.0,1
8476474,Stefan Noesen,Noesen,R,CAR,86,R,62.3,60.6,59.3,61.4,4,0,0,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476474.png,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,100.0,98.31,97.46,99.79,81.78,97.88,99.9,92.05,15.0,1
8475166,John Tavares,Tavares,C,TOR,85,L,51.4,51.300000000000004,52.2,51.800000000000004,6,1,0,https://assets.nhle.com/mugs/nhl/20232024/TOR/8475166.png,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,65.25,63.03,67.48,67.27,92.16,65.26,66.26,76.32,72.0,0
8477407,Anthony Duclair,Duclair,L,SJS,73,L,44.1,42.6,41.199999999999996,43.9,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/SJS/8477407.png,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,16.0,10.28,8.26,14.19,37.18,9.27,15.1,22.18,403.0,0
8475314,Anders Lee,Lee,L,NYI,86,L,50.5,52.2,54.400000000000006,53.0,2,0,0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8475314.png,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,57.63,71.08,80.3,77.22,56.04,75.69,67.42,65.35,129.5,0
8478104,Sammy Blais,Blais,L,STL,53,L,42.3,40.2,41.8,41.8,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/STL/8478104.png,https://assets.nhle.com/logos/nhl/svg/STL_dark.svg,7.42,4.34,9.53,6.46,13.45,6.94,6.94,9.54,460.0,0
8478483,Mitch Marner,Marner,R,TOR,74,R,52.7,53.6,55.1,53.900000000000006,2,0,1,https://assets.nhle.com/mugs/nhl/20232024/TOR/8478483.png,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,76.59,79.66,85.06,82.94,56.04,82.36,79.76,71.05,98.0,0
